1.342	0.905	3.999	0.525	5.840	0.945	2.259
1.535	0.900	4.408	0.411	5.609	1.041	2.317
1.602	0.898	4.825	0.317	4.876	0.901	2.237
1.712	0.934	4.997	0.291	4.459	0.752	2.191
1.824	0.955	5.039	0.321	4.313	0.668	2.187
1.871	1.020	5.232	0.391	4.560	0.523	2.266
1.925	1.230	5.054	0.500	4.498	0.511	2.286
1.867	1.499	4.704	0.637	4.321	0.817	2.308
1.883	1.538	4.683	0.768	4.290	0.812	2.329
1.814	1.500	4.998	0.924	3.850	0.636	2.287
1.447	1.549	5.143	1.083	4.259	0.453	2.322
1.139	1.609	5.269	1.212	4.591	0.308	2.355
1.003	1.656	5.105	1.200	4.969	0.178	2.352
1.007	1.659	4.930	1.329	5.115	0.108	2.358
1.051	1.744	4.951	1.529	5.501	0.111	2.481
0.988	1.840	4.645	1.825	5.601	0.082	2.497
0.945	1.982	4.500	2.351	6.010	0.145	2.655
0.874	2.160	4.130	2.864	6.134	0.229	2.732
0.933	2.170	4.102	3.313	5.918	0.460	2.816
1.078	2.144	3.853	3.385	5.640	0.747	2.808
1.314	2.092	3.317	3.437	5.316	1.060	2.756
1.507	1.955	3.906	3.278	4.783	1.282	2.785
1.510	1.901	3.710	3.416	4.467	1.586	2.765
1.486	1.814	3.782	3.380	4.259	1.540	2.710
1.358	1.463	3.965	3.259	4.058	1.562	2.611
1.122	1.131	3.973	3.050	4.058	1.412	2.458
0.871	0.922	3.856	2.920	4.027	1.070	2.278
0.616	0.787	3.970	3.085	3.904	0.798	2.193
0.437	0.622	4.022	3.098	4.081	0.557	2.136
0.376	0.540	4.154	3.000	4.429	0.477	2.163
0.394	0.565	4.403	3.007	4.506	0.774	2.275
0.521	0.752	4.965	2.869	4.344	0.781	2.372
0.693	1.036	5.650	2.731	4.236	0.827	2.529
0.649	1.237	6.142	2.576	4.359	0.971	2.656
0.422	1.424	6.299	2.509	4.321	0.807	2.630
0.287	1.310	6.480	2.543	3.996	0.583	2.533
0.242	1.158	6.829	2.629	3.881	0.431	2.528
0.215	1.052	7.061	2.741	3.757	0.268	2.516
0.191	1.085	7.177	2.580	3.541	0.164	2.456
0.174	1.184	7.224	2.492	3.480	0.118	2.445
0.187	1.324	7.554	2.653	3.364	0.149	2.539
0.252	1.683	7.691	3.059	3.518	0.190	2.732
0.402	2.376	7.428	3.590	3.642	0.215	2.942
0.468	2.980	7.327	4.007	3.603	0.231	3.103
0.490	3.413	7.145	4.511	3.302	0.272	3.189
0.459	3.888	6.710	4.940	3.048	0.241	3.214
0.488	4.173	6.587	5.140	2.723	0.183	3.216
0.504	4.560	6.297	5.217	2.662	0.130	3.228
0.578	4.797	5.966	5.308	2.446	0.154	3.208
0.703	4.935	5.765	5.585	2.083	0.161	3.205
0.821	4.913	5.475	5.806	1.682	0.202	3.150
0.899	5.202	5.585	5.906	1.350	0.200	3.190
0.963	5.458	5.618	5.940	1.258	0.202	3.240
1.084	5.747	5.416	5.938	1.211	0.255	3.275
1.155	6.144	5.601	6.205	1.134	0.299	3.423
1.105	6.519	5.494	6.395	1.003	0.263	3.463
1.143	7.045	5.631	6.369	0.849	0.333	3.562
1.115	7.411	5.231	6.412	0.679	0.412	3.543
1.294	7.752	4.838	6.399	0.501	0.523	3.551
